02-03-25 17:11:59,798 | TRACE | NormalizingIdentifierHelperImpl | Normalizing identifier quoting [null]
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(sign)] under sign; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(sqrt)] under sqrt; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(ln)] under ln; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(exp)] under exp; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(power)] under power; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(round)] under round; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(sin)] under sin; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(cos)] under cos; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(tan)] under tan; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(asin)] under asin; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(acos)] under acos; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(atan)] under atan; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(atan2)] under atan2; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@71c17a57] under sinh; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@640ab13c] under cosh; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@1e0a864d] under tanh; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@440e3ce6] under pi; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@3e67f5f2] under log; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(coalesce)] under coalesce; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(nullif)] under nullif; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(left)] under left; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(right)] under right; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(replace)] under replace; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(concat)] under concat; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(lower)] under lower; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(upper)] under upper; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(substring)] under substring; prior registration was null
02-03-25 17:12:00,054 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(locate)] under locate; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(character_length)] under character_length; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registering alternate key : length -> character_length
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.LocatePositionEmulation@329bad59] under position; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.InsertSubstringOverlayEmulation@7654f833] under overlay; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.TrimFunction@f4a3a8d] under trim; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CastFunction@2c88a3e8] under cast; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@68ac9ec5] under collate; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.ExtractFunction@65f651eb] under extract; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(least)] under least; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(greatest)] under greatest; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CoalesceIfnullEmulation@24f870ee] under ifnull; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(lpad)] under lpad; prior registration was null
02-03-25 17:12:00,070 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(rpad)] under rpad; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.LpadRpadPadEmulation@1886991b] under pad; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CastStrEmulation@3bbf6abe] under str; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.FormatFunction@44065156] under format; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.TimestampaddFunction@32177fa5] under timestampadd; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.TimestampdiffFunction@1d12e953] under timestampdiff; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : dateadd -> timestampadd
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : datediff -> timestampdiff
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CurrentFunction@2a8a4e0c] under current_date; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CurrentFunction@26c89563] under current_time; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CurrentFunction@3bd6ba24] under current_timestamp; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : current date -> current_date
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : current time -> current_time
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : current timestamp -> current_timestamp
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CurrentFunction@58f437b0] under local_date; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CurrentFunction@20f6f88c] under local_time; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CurrentFunction@4277127c] under local_datetime; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CurrentFunction@4c7e978c] under offset_datetime; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : local date -> local_date
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : local time -> local_time
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : local datetime -> local_datetime
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : offset datetime -> offset_datetime
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CurrentFunction@354e7004] under instant; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registering alternate key : current_instant -> instant
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.SqlFunction@2687725a] under sql; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(soundex)] under soundex; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(radians)] under radians; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(degrees)] under degrees; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(cot)] under cot; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(log)] under log; prior registration was org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@3e67f5f2
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(log2)] under log2; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(log10)] under log10; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(ltrim)] under ltrim; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(rtrim)] under rtrim; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(octet_length)] under octet_length; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(reverse)] under reverse; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(space)] under space; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(repeat)] under repeat; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.MultipatternSqmFunctionDescriptor@2e1ddc90] under lpad; prior registration was NamedSqmFunctionTemplate(lpad)
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.MultipatternSqmFunctionDescriptor@5b7c8930] under rpad; prior registration was NamedSqmFunctionTemplate(rpad)
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(md5)] under md5; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(day)] under day; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(month)] under month; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(year)] under year; prior registration was null
02-03-25 17:12:00,085 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(hour)] under hour; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(minute)] under minute; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(second)] under second; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(microsecond)] under microsecond; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(dayofweek)] under dayofweek; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(dayofmonth)] under dayofmonth; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registering alternate key : day -> dayofmonth
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(dayofyear)] under dayofyear; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(week)] under week; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(quarter)] under quarter; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(monthname)] under monthname; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(dayname)] under dayname; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(last_day)] under last_day; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(date)] under date; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(timestamp)] under timestamp; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(time)] under time; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(utc_date)] under utc_date; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(utc_time)] under utc_time; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(utc_timestamp)] under utc_timestamp; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(rand)] under rand; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(crc32)] under crc32; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(sha1)] under sha1; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(sha2)] under sha2; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(sha)] under sha; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(bit_length)] under bit_length; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(octet_length)] under octet_length; prior registration was NamedSqmFunctionTemplate(octet_length)
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(ascii)] under ascii; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(instr)] under instr; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(substr)] under substr; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@58867cd5] under position; prior registration was org.hibernate.dialect.function.LocatePositionEmulation@329bad59
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(curtime)] under curtime; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(curdate)] under curdate; prior registration was null
02-03-25 17:12:00,101 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(now)] under now; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.TruncFunction@5434e40c] under trunc; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registering alternate key : truncate -> trunc
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(insert)] under insert; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@3b48e183] under bitand; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@514de325] under bitor; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@30c1da48] under bitxor; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@43a65cd8] under bitnot; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(bit_and)] under bit_and; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(bit_or)] under bit_or; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(stddev)] under stddev; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(stddev_pop)] under stddev_pop; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(stddev_samp)] under stddev_samp; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(variance)] under variance; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(var_pop)] under var_pop; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(var_samp)] under var_samp; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(datediff)] under datediff; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(adddate)] under adddate; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(subdate)] under subdate; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(addtime)] under addtime; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(subtime)] under subtime; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.FormatFunction@3f1ef9d6] under format; prior registration was org.hibernate.dialect.function.FormatFunction@44065156
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(makedate)] under makedate; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(maketime)] under maketime; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(localtime)] under localtime; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(localtimestamp)] under localtimestamp; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(localtime)] under local_time; prior registration was org.hibernate.dialect.function.CurrentFunction@20f6f88c
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(localtimestamp)] under local_datetime; prior registration was org.hibernate.dialect.function.CurrentFunction@4277127c
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(localtime)] under localtime; prior registration was NamedSqmFunctionTemplate(localtime)
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@17461db] under pi; prior registration was org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@440e3ce6
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@3fd9e827] under chr; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registering alternate key : char -> chr
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.query.sqm.function.PatternBasedSqmFunctionDescriptor@4e682398] under sysdate; prior registration was null
02-03-25 17:12:00,116 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.ListaggGroupConcatEmulation@5b3bb1f7] under listagg; prior registration was null
02-03-25 17:12:00,132 | DEBUG | HQL_FUNCTIONS        | abs(NUMERIC arg)
02-03-25 17:12:00,132 | DEBUG | HQL_FUNCTIONS        | Double acos(NUMERIC arg)
02-03-25 17:12:00,132 | DEBUG | HQL_FUNCTIONS        | adddate(DATE datetime, INTEGER days)
02-03-25 17:12:00,132 | DEBUG | HQL_FUNCTIONS        | addtime(TIME datetime, TIME time)
02-03-25 17:12:00,132 | DEBUG | HQL_FUNCTIONS        | Boolean any(BOOLEAN arg)
02-03-25 17:12:00,132 | DEBUG | HQL_FUNCTIONS        | Integer ascii(STRING arg)
02-03-25 17:12:00,132 | DEBUG | HQL_FUNCTIONS        | Double asin(NUMERIC arg)
02-03-25 17:12:00,132 | DEBUG | HQL_FUNCTIONS        | Double atan(NUMERIC arg)
